"author_channel_url","author_channel_url_number"
"https://youtube.com/channel/UC-F1Ch7n30wNFSjO_Jn29Rg","0005403"
"https://youtube.com/channel/UC-FR48v_Fph0ns7lj_BrwlA","0011047"
"https://youtube.com/channel/UC-FUWixWsIXdLTJgNKr9MVA","0009336"
"https://youtube.com/channel/UC-Fd064IfsMNbrpa5sZ7FXg","0005385"
"https://youtube.com/channel/UC-G1fuFYiNHDzV82kHfHdEg","0016787"
"https://youtube.com/channel/UC-GDISVC4ILI6m8AVBofITQ","0005673"
"https://youtube.com/channel/UC-GXuVH9NWOeIwlit8igXpA","0021543"
"https://youtube.com/channel/UC-GaI__zaKwTic7p76eqb0A","0006775"
"https://youtube.com/channel/UC-GavbTX1aSFuGqYqcD8MPg","0025970"
"https://youtube.com/channel/UC-Gkww6QcM_tocrsJyigYGw","0002532"
"https://youtube.com/channel/UC-GtiBCUZEgHfdPezxvWI8A","0016245"
"https://youtube.com/channel/UC-H703IB-kRDZm-gnX3Sh5w","0018640"
"https://youtube.com/channel/UC-H81nu0T-VTq_7UUsIceFg","0005026"
"https://youtube.com/channel/UC-HIVzSnqnZ0ZQa6wysA8Hg","0017164"
"https://youtube.com/channel/UC-HRKSgWK-iGIkSkQqY8T5w","0016639"
"https://youtube.com/channel/UC-I4I8NxwHEUaethlklpq-Q","0012582"
"https://youtube.com/channel/UC-IVxhEdi4PR_WdKxt6zCzA","0022106"
"https://youtube.com/channel/UC-IatexaaayWsmZFWYtczvw","0025984"
"https://youtube.com/channel/UC-IbNLENwJVgr4Zk_xlca_Q","0008763"
"https://youtube.com/channel/UC-IsdjdcicHodqo1Xyz6g0g","0002050"
"https://youtube.com/channel/UC-J2fGEyO3NzVbFRWk714zw","0021402"
"https://youtube.com/channel/UC-J3YBqOpLQhM7JSvCnCzVw","0005997"
"https://youtube.com/channel/UC-JKmxYpIX9ikRmgWHYGnig","0009993"
"https://youtube.com/channel/UC-JMb8AXEHplJ_qUm3pR9dw","0026100"
"https://youtube.com/channel/UC-JWjaeeIgaXB2n6cdzRBVw","0010009"
"https://youtube.com/channel/UC-J_a8xWwqxkUnLvrm0jnTQ","0016490"
"https://youtube.com/channel/UC-JevT67R4dUOXNBnHOuKew","0006301"
"https://youtube.com/channel/UC-JvtUEHCcsCWS214BUskhg","0024584"
"https://youtube.com/channel/UC-K3lcDbztX-HtCT8QALMPA","0006505"
"https://youtube.com/channel/UC-K3s9ksMXvVw9LBGA39QvQ","0006970"
"https://youtube.com/channel/UC-KAW_7c8qwyd70xMd2M26g","0008789"
"https://youtube.com/channel/UC-KO8ALqPzu4XP8TPPExWNA","0020514"
"https://youtube.com/channel/UC-KOx0RB8jo4tVXn0NUZIoA","0003876"
"https://youtube.com/channel/UC-KRXelzkfDKbhsQDe285sQ","0012595"
"https://youtube.com/channel/UC-KTQ8W-GdnIjc5pBqbHoSg","0011873"
"https://youtube.com/channel/UC-KkzeloJrLXJkTxgjBqDbQ","0025723"
"https://youtube.com/channel/UC-L1q9LwyJfFmtCvUeKeJqw","0010916"
"https://youtube.com/channel/UC-LBec_4xPrruiZovrxikqg","0000948"
