"author_channel_ID","author_number"
"UC-M-JQe_Sx1wtV_40Jog2Pg","0002450"
"UC-MFFKodbJYaEih2c5dFw0A","0001571"
"UC-MSq4qu9w0m7Ia2jo24zHQ","0019435"
"UC-MdmkuU7aKt1z2DBtFNdFw","0021280"
"UC-Mxd6wFdCdLmQD080h_iTw","0019923"
"UC-N6AAzT9H3e_4Ctgj6joow","0006216"
"UC-N9kqLDAH_eoNRTnEOhyvw","0020463"
"UC-NT5DRuFU5Rq42vh3HdbRA","0020724"
"UC-NamH7NgU3USl_4Kzc2qsw","0006161"
"UC-Nj1k6kTwbntzCPyZjU7Gg","0017301"
"UC-O2fMALMVpMVLoUBFSj38Q","0016649"
"UC-OivWp-ww5SIzHfNQnxLCA","0003646"
"UC-OpUGa0spscJvEAjNESmaQ","0018358"
"UC-OyjswqRkwcs05lEHrMCkQ","0004559"
"UC-OzK71anOiQHG5GYtUTJsQ","0001596"
"UC-PTJCUaViZIf19y7HGwi8Q","0014072"
"UC-PYDpQ7FSYLLebWZEmQc9w","0009683"
"UC-PfVWWS5eoxxK4CIttZ5UQ","0022486"
"UC-Pzm3i75YwAryZGEfLMSLw","0006399"
"UC-Q9uQOmgggt9PonZmUqeUw","0002083"
"UC-Qmrr5b3wLgrggiA9lo_0w","0018571"
"UC-QnN9RE2iEz5BiPPsCUJgw","0012341"
"UC-QyBe03yy_vxKf1c90rPXw","0005696"
"UC-RHUhRABzV3J1amyz6ZmHw","0000336"
"UC-RMGAZ2BVOXmQMm9fi9uEQ","0010493"
"UC-RRdbwr4P8rDdhoPVpDa7A","0004932"
"UC-RfjZa7EIE1aHjGKecscMg","0016907"
"UC-RzxNh2jXMx34wMTQ2QK8A","0017328"
"UC-S2Jv4VRBgutLWWmGnB6nw","0015836"
"UC-SAbHsBbB04uU2JjfOar-w","0008478"
"UC-SDCsgrllKdyd6z6ClCpJQ","0014573"
"UC-SpTDKvj9FWBUYWQ9Frsrg","0013497"
"UC-SxvUQL5p7NjwuhtWYLYRQ","0016305"
"UC-SyGZkxFJ61bkepC6yo7Pg","0023113"
"UC-T2sainoUzMsiODsr19GLg","0005322"
"UC-T6hmR-YLvXGaC_rciaJYA","0000133"
"UC-TOpnjE9mIoA24bLXamjLA","0010629"
"UC-TRe9atiTSG17aSgUugjEg","0009521"
"UC-T_QT3ySV2v7A5zxQ81Kpg","0014706"
"UC-ThBLnlAzZwAnhhIX--80A","0003341"
"UC-ToOrfa2k4lTD_d895B7pA","0015351"
"UC-TvYGwcte4jxfsdBImvu2Q","0001524"
"UC-Vv7gpTl2FZk0sCnqAhERA","0007925"
"UC-WHvJ6_Wg6mtM13xV0_wQQ","0009575"
"UC-WPkfdY5N0aGvaMgyk2pOg","0017671"
"UC-Wd4LV8r8yCKM6awIi5ArA","0021129"
"UC-WnO3C5JP3p8P3Ou__XF7g","0008441"
"UC-X7p3HFTvwwzawBhmmerjg","0014275"
