"comment_ID","comment_number"
"UggLQAMzAbO3v3gCoAEC.7-H0Z7-7k6B7-HCzOoKkTZ","0000671"
"UggM4Y_Cr-FMTXgCoAEC","0006445"
"UggM4Y_Cr-FMTXgCoAEC.8RPQ8nknRpi92X0Z_NkddC","0006446"
"UggMESsHCwBywngCoAEC","0032119"
"UggMaxvJ3Kl4BHgCoAEC","0006568"
"UggMaxvJ3Kl4BHgCoAEC.7-H0Z7-9Krm91I4k9IR7hb","0006569"
"UggP8Y0fkXNGmHgCoAEC","0024410"
"UggPGv31AHYjCHgCoAEC","0005741"
"UggPGv31AHYjCHgCoAEC.7-H0Z7-2OyJ7-Jp5CAN7mw","0005743"
"UggPGv31AHYjCHgCoAEC.7-H0Z7-2OyJ74-h2LnUtYx","0005742"
"UggPPEHKJ2AqoHgCoAEC","0012557"
"UggQ38ihZgGrBXgCoAEC","0016726"
"UggQ3yTLu0nKl3gCoAEC","0012587"
"UggQ3yTLu0nKl3gCoAEC.7-H0Z7--MEz701e4LOUMXw","0012588"
"UggQAJK4MWiaYXgCoAEC","0006460"
"UggQAJK4MWiaYXgCoAEC.8N-GqyUgsQB8N4FVelRw81","0006461"
"UggQUq6TycbfKHgCoAEC","0006564"
"UggQUq6TycbfKHgCoAEC.7-H0Z7-DfQL7-jo5j2HgFh","0006567"
"UggQUq6TycbfKHgCoAEC.7-H0Z7-DfQL73nSKUQjLsG","0006566"
"UggQUq6TycbfKHgCoAEC.7-H0Z7-DfQL73nlYs081ri","0006565"
"UggQXB2UG4P9_HgCoAEC","0030256"
"UggQ_I-zU4wZNHgCoAEC","0005644"
"UggQsz0IdQ9fangCoAEC","0006521"
"UggRQlELbJG5m3gCoAEC","0029355"
"UggRQlELbJG5m3gCoAEC.8GCay0TmTGz8GbJT6UPAzr","0029360"
"UggRQlELbJG5m3gCoAEC.8GCay0TmTGz8GbSz12U0F0","0029359"
"UggRQlELbJG5m3gCoAEC.8GCay0TmTGz8GlNzNYlR_O","0029358"
"UggRQlELbJG5m3gCoAEC.8GCay0TmTGz8Gp7en9Ss_b","0029357"
"UggRQlELbJG5m3gCoAEC.8GCay0TmTGz8iPlEKK1o9C","0029356"
"UggRXfFp3LgfB3gCoAEC","0000674"
"UggR_NdQ9qVAiHgCoAEC","0023573"
"UggRiXx15EES-3gCoAEC","0017326"
