"channel_url","channel_number"
"https://youtube.com/channel/UCNZyLULUQBp5e9Q1cKtvk6Q","0000051"
"https://youtube.com/channel/UCNc0bRpfrHytNe_Nk6jlQjw","0000009"
"https://youtube.com/channel/UCNjDofziwuV2ffxv9p258-w","0000403"
"https://youtube.com/channel/UCNp1VftbsPmcSt-zgUTAaNA","0000140"
"https://youtube.com/channel/UCO6kzQ-7wcG0x8W5LpBA9RQ","0000060"
"https://youtube.com/channel/UCO9pdiN8S3K13CCqhgyL-YA","0000424"
"https://youtube.com/channel/UCO9ugWO6L7Rfk7UxiA_nLdw","0000000"
"https://youtube.com/channel/UCOe42DUxnwrIIpQ51s_W0kw","0000211"
"https://youtube.com/channel/UCOebKgmDjF7i6OsLAlJKX1g","0000020"
"https://youtube.com/channel/UCOgmDcdNR0zd0QrxNFzNCZQ","0000049"
"https://youtube.com/channel/UCOmcA3f_RrH6b9NmcNa4tdg","0000423"
"https://youtube.com/channel/UCOzWn948D9YO41K3G7vl_Zg","0000197"
"https://youtube.com/channel/UCP8W-ZBjIMXOwrbrwOE3wIQ","0000413"
"https://youtube.com/channel/UCPK-tIF2tVaYF65psGn8Dlg","0000269"
"https://youtube.com/channel/UCPVoB13ziHcg-ummWqZYhAQ","0000329"
"https://youtube.com/channel/UCPel__pm2shh31Hkugq5wGg","0000231"
"https://youtube.com/channel/UCPjgzQgWuPsrYDSuP_CENOw","0000310"
"https://youtube.com/channel/UCQ5B5gP6NtGK_q9MRjojEIQ","0000048"
"https://youtube.com/channel/UCQ944pQs7iCs7YHeFFUm6Tg","0000068"
"https://youtube.com/channel/UCQJChzOjillOSuQMMDoFaDA","0000346"
"https://youtube.com/channel/UCQTGeuKyBoeuACSfrgj9VQw","0000415"
"https://youtube.com/channel/UCR8QQsG6IGkRzoA8iOt44VQ","0000392"
"https://youtube.com/channel/UCRAxVOVt3sasdcxW343eg_A","0000262"
"https://youtube.com/channel/UCRWUvi6oNMmf85VsztptdoA","0000353"
"https://youtube.com/channel/UCRdlFyuK4Myn-g43-kkKvUA","0000006"
"https://youtube.com/channel/UCRfg0SWjIHm_h95e4V8X5og","0000017"
"https://youtube.com/channel/UCRic_79iJ1woOtH6YPZB0nQ","0000331"
"https://youtube.com/channel/UCRnh6-EGR6pPLRe61VLNYvg","0000105"
"https://youtube.com/channel/UCS6vEhlkG--ARfBv2-JR9iw","0000062"
"https://youtube.com/channel/UCS70fIZuuA2s1SQGifFyO8w","0000394"
"https://youtube.com/channel/UCS8Dx-o24NSjOZXPGSoiN9Q","0000200"
"https://youtube.com/channel/UCSUf5_EPEfl4zlBKZHkZdmw","0000422"
"https://youtube.com/channel/UCSWTw826NII8VSGheGvtEPA","0000011"
"https://youtube.com/channel/UCShPX44-EC3HtvKohu3Ws4A","0000057"
"https://youtube.com/channel/UCT9-kiDrSCd1RDq1SJzlvqg","0000088"
"https://youtube.com/channel/UCTi--owCnkGmOBl5MnTyXag","0000280"
"https://youtube.com/channel/UCTi3mRHhtqqrz5rXgw0F3mw","0000323"
"https://youtube.com/channel/UCTjprFfNlUJKilsYiO1FRTg","0000034"
"https://youtube.com/channel/UCUrO2c4pFUqcev4obUoaSFg","0000289"
"https://youtube.com/channel/UCUt32KF-vI9UBnccJje_bbQ","0000418"
"https://youtube.com/channel/UCVFAyLVe5v3UsfCixqsWqGw","0000161"
"https://youtube.com/channel/UCVSNOxehfALut52NbkfRBaA","0000363"
"https://youtube.com/channel/UCVgO39Bk5sMo66-6o6Spn6Q","0000111"
"https://youtube.com/channel/UCVmnOmcXgvLoNWr2u7WIlAg","0000158"
"https://youtube.com/channel/UCVnStdrTL_XNRWUbeBxAc9A","0000035"
"https://youtube.com/channel/UCVomrZ8pmDHjBiLmcqH3FYA","0000065"
"https://youtube.com/channel/UCWENB1OaGA9402PKzEVl0ow","0000439"
"https://youtube.com/channel/UCWLCBZvw0YKHbBBk29uNr_Q","0000347"
"https://youtube.com/channel/UCWSThRb-3ovlhq0M7-HmKBQ","0000010"
"https://youtube.com/channel/UCWWd_hIT_1CShIx1gptruEw","0000275"
"https://youtube.com/channel/UCWZVuyXKMhEiBZgioFYwZBg","0000299"
"https://youtube.com/channel/UCWbY7sXu_NH30gGkHJtz_mw","0000113"
"https://youtube.com/channel/UCWejKd0MNAXn9JvCwXw0YZw","0000319"
"https://youtube.com/channel/UCWljxewHlJE3M7U_6_zFNyA","0000093"
"https://youtube.com/channel/UCWzv76xXt8QmSvatFRr6OoA","0000110"
"https://youtube.com/channel/UCX0nfKiyBiAgFq_8QBuQW-Q","0000435"
"https://youtube.com/channel/UCX9O7iJumYyptL89Vx8LR-w","0000015"
"https://youtube.com/channel/UCX9cOoiG3SfzXJlUaSVg5hg","0000313"
"https://youtube.com/channel/UCXGATLH27RTWPcbnqKESE6Q","0000230"
"https://youtube.com/channel/UCXWQSBqzYoGd8OngoIIfSNQ","0000126"
"https://youtube.com/channel/UCXZ2pB2zDX8vT8tBI8hWZDw","0000267"
"https://youtube.com/channel/UCXkWsAbxTX50MSQfcRBWXog","0000090"
"https://youtube.com/channel/UCYLR1ghzYNyvfjw78raCuxA","0000036"
"https://youtube.com/channel/UCYWIEbibRcZav6xMLo9qWWw","0000253"
"https://youtube.com/channel/UCYaGXLo_tI1IpJZRxZh0igg","0000159"
"https://youtube.com/channel/UCYgo03o8yMb89BR-wXKAg0A","0000082"
"https://youtube.com/channel/UCZ4p4AjF8kmxZOW5Zo73LDw","0000002"
"https://youtube.com/channel/UCZII2-pYouhc81JtJ9zShEw","0000052"
"https://youtube.com/channel/UCZWlSUNDvCCS1hBiXV0zKcA","0000222"
"https://youtube.com/channel/UCZYTClx2T1of7BRZ86-8fow","0000022"
"https://youtube.com/channel/UCZaT_X_mc0BI-djXOlfhqWQ","0000419"
"https://youtube.com/channel/UCZgsHcfLjLsCCr5w--Vgj6g","0000450"
"https://youtube.com/channel/UCZvKk23rJDLXSHnBLdZuyrQ","0000053"
"https://youtube.com/channel/UC_LSdDCCezOx71YIfR8BsrA","0000079"
"https://youtube.com/channel/UC_ZACSiA0Pm6tcYIrw86akA","0000047"
"https://youtube.com/channel/UC_fdqGLHPdlgqVRKSQX19UA","0000097"
"https://youtube.com/channel/UC_rUw0cZpMW6AAO4b_EOL5g","0000433"
"https://youtube.com/channel/UCa-bX3gZC3YnCThlGM5d38Q","0000272"
"https://youtube.com/channel/UCaJohPw66wXyHKTiHRkHzIw","0000099"
